Curso,Nivel,Codigo,Genero,Adaptacion,Puntuacion_profesor,Puntuacion_apoyo,Laboratorios_escuela,Laboratorios_comunicaciones,Sensibilizacion_ONG,Material,Ingenieria_despues,Dedicacion,Valoracion_ingenierias_despues,Nivel_matematicas,Recomendacion,Repetir,Puntuacion_curso,Mejor_curso,Peor_curso,Mejorar,Gustar,Estudiar,Entender,No_entender,Profesional,Actividades,Carrera,Facilidad,Disfrutar,No_trabajo,Mundo_mejor,Interes_asignaturas,Salida_profesional,Actividades_instituto,Dificultad_asignaturas,Trabajo,Respeto_cientificos,Efecto_vidas,No_gustar,Examenes,Decisiones_personales,Otros_campus,Decision,Edad,Valoracion_ingenierias_antes,Ingenieria_antes,Valoracion_ingenierias
INGENIERIA MECANICA,SENIOR,1801010,Chico,Muy bien,10,10,Muy buena,No asistí,Muy buena,Bien,Sí,.,Muy buena,Muy bien,Sí,Sí,10,todo,.,Falta mejorar el material,5,5,5,1,3,3,4,5,5,2,5,5,3,5,1,3,4,5,1,1,3,2019,Yo,16,Muy buena,Sí,Igual
INTELIGENCIA ARTIFICIAL,SENIOR,1801821,Chica,Muy bien,10,10,Muy buena,Muy buena,Muy buena,Muy bien,No sé,empresaria,Muy buena,Muy bien,Sí,Sí,10,la organización del curso y participación de los profesores,nada,A lo mejor las clases de programación podrían ser todavía más entretenidas,5,5,5,1,1,4,5,4,5,2,5,5,5,5,1,2,5,5,2,5,5,No,"Yo, Mis padres, Mis amigos",16,Muy buena,Sí,Igual
AUTOMATIZACION,SENIOR,1802670,Chico,Muy bien,10,10,Regular,No asistí,Regular,Bien,Sí,Ingeniería Mecatrónica con especialización en robótica,Buena,Bien,No,Sí,10,El profesor y su forma de enseñar.,Las charlas,Menos publicidad sobre el lugar y mas enseñanza sobre la ingenería,5,4,5,1,2,4,4,4,5,5,5,4,5,5,3,4,5,5,1,3,1,No,Yo,15,Muy buena,Sí,Peor
DRONES,SENIOR,1802670,Chico,Muy bien,9,8,Muy buena,Buena,Buena,Muy bien,Sí,Ingeniería Mecatrónica,Muy buena,Bien,Sí,Sí,10,Me ha encantado la teoría que nos han dado el ultima día sobre la evolución de los drones voladores. Tambien. Me ha gustado como debíamos primero entender las matemáticas detras del problema y luego intentar aplicar eso en arduino. Permitía al alumno utilizar su lógica y su propia creatividad para resolver los problemas.,Me hubiera gustado que el curso hubiera durado un poco mas. Y que la t,Hubiera preferido que en vez de centrarse en los basicos de arduino se centrara mas en sus aplicaciones en drones,5,4,4,1,2,5,4,4,5,2,5,4,4,5,3,4,5,4,1,2,3,No,Yo,15,Muy buena,Sí,Igual
INGENIERIA ELECTRONICA,SENIOR,1802670,Chico,Muy bien,10,9,Regular,Regular,Regular,Muy bien,Sí,A la mecatrónica,Muy buena,Bien,Sí,No,10,"La forma en la que enseñaba la profesora, además me gustó como los kahoots mejoró las relaciones de amistad entre los alumnos",Esta encuesta tiene muchos errores >:(,La encuesta. También la organización debido a que al final no ha habido tiempo para muchas cosas.. Además añadiría experimentación de condensadores y observar que efectos tiene poner los cables  de forma equivocada en un ambiente controlado.,5,5,4,3,1,5,4,4,5,1,4,4,4,5,3,4,4,4,1,3,4,No,Yo,15,Muy buena,Sí,Igual
INGENIERIA MECANICA,SENIOR,1802670,Chico,Bien,10,10,Muy buena,Buena,Regular,Bien,Sí,Mecatrónica,Muy buena,Bien,Sí,Sí,10,La forma en la que el profe da las clases y responde a todas las dudas que podamos tener,Nada,Mas actividades prácticas y un poco menos de teoría,5,5,4,2,2,5,4,4,5,2,5,4,5,5,2,4,5,4,1,3,3,No,Yo,15,Muy buena,Sí,Igual
DISEÑO 3D,JUNIOR,1805000,Chico,Bien,10,10,No asistí,No asistí,Muy buena,Muy bien,Sí,informatico ordenadores,Muy buena,Muy bien,Sí,Sí,10,quenos han dado dos jugetes gratis,nada,nada,4,4,5,1,2,3,5,3,4,3,5,4,5,4,4,3,3,5,2,1,5,No,"Yo, Mis padres",10,Buena,Sí,Mejor
VIDEOJUEGOS 2D,JUNIOR,1805000,Chico,Bien,10,10,Buena,No asistí,Buena,Bien,Sí,informatica,Buena,Bien,Sí,Sí,9,hacer nuestro propio juego,nada,nada,4,3,4,2,3,3,3,4,4,3,4,4,3,4,3,3,3,4,2,2,4,No,"Yo, Mis padres",10,Buena,Sí,Igual
ENERGIAS RENOVABLES,JUNIOR,1806000,Chico,Bien,9,7,Buena,No asistí,Muy buena,Bien,Sí,De mayor me gustaría estar relacionado con la F1.,Buena,Muy bien,Sí,Sí,9,Montar el ventilador solar.,La teoría sobre las energías renovales.,"Yo creo que no hay que cambiar nada, hacemos muchos juegos y a casi nadie le gusta la teoría pero hay que aprenderla.",4,4,4,2,2,3,3,3,4,2,4,3,4,4,2,4,4,4,2,2,4,2019,Yo,12,Buena,Sí,Igual
INGENIERIA MECANICA,JUNIOR,1806000,Chico,Muy bien,9,10,Muy buena,Muy buena,Buena,Bien,No sé,"Me gustaría estar, en algo relacionado con Fórmula 1 pero sino, me gustaría ser abogado y empresario.",Buena,Muy bien,Sí,Sí,9,"El último día, en el que dimos sobre la F1.",La teoría sobre la presión del aire y las criptomonedas.,"Yo creo que está muy logrado ya que hay que dar clase de teoría pero hacemos juegos, experimentos etc. y nos lo pasamos muy bien",3,3,2,1,2,2,3,2,4,3,4,3,4,3,2,3,4,4,1,2,2,2019,Yo,12,Buena,Sí,Igual
INGENIERIA ELECTRONICA,SENIOR,1806485,Chico,Bien,9,9,Buena,No asistí,Buena,Muy bien,Sí,Ingeniero de telecomunicaciones o cualquier otra ingeniería de ese tipo,Buena,Muy bien,Sí,No,9,Prácticas más interesantes como poner música con el zumbador,Alguna teoría difícil de entender,Que los cables fueran mejores,5,5,5,2,1,3,5,4,5,1,4,5,5,5,4,5,4,5,1,3,3,No,Mis padres,17,Muy buena,Sí,Peor
INTELIGENCIA ARTIFICIAL,SENIOR,1806485,Chico,Muy bien,8,8,Muy buena,Buena,Buena,Muy bien,Sí,ingenieria,Buena,Muy bien,Sí,Sí,8,las visitas a laboratorios,no se,no se,5,5,4,2,1,4,5,4,5,1,4,5,5,5,5,5,4,4,1,2,4,No,Mis padres,17,Muy buena,Sí,Peor
AUTOMATIZACION,SENIOR,1808307,Chico,Muy bien,10,10,Buena,Buena,Buena,Muy bien,No sé,"a la psicología, a investigar cómo pensamos.",Buena,Muy bien,Sí,Sí,9,que programas algo y puedes verlo pasar.,"no me gustó el nextion, yo dedicaría menos tiempo a ello aunque algo sí.",que haya una charla por verano y no por semana.,4,5,5,2,3,3,4,5,5,4,5,5,4,4,4,4,3,5,1,3,5,"2016, 2017, 2018, 2019, 2020 (online)","Yo, Mis padres",13,Muy buena,No sé,Peor
CIBERSEGURIDAD,SENIOR,1808307,Chico,Muy bien,9,9,Buena,Buena,Muy buena,Bien,No sé,"A investigar los cerebros de la gente, y ver la raíz del comportamiento humano.",Buena,Muy bien,Sí,Sí,10,El poder poner en práctica lo que hacemos.,No sé.,Que no esté habilitado el shell shockers para que nadie se distraiga.,5,4,5,2,2,3,5,5,5,4,5,4,3,4,2,3,4,5,2,5,5,"2016, 2017, 2018, 2019, 2020 (online)","Yo, Mis padres",13,Muy buena,No sé,Peor
DISEÑO 3D,JUNIOR,1809000,Chica,Muy bien,10,10,No asistí,No asistí,Muy buena,Muy bien,No sé,"Abogada, ingeniera eléctrica o científica",Muy buena,Muy bien,Sí,Sí,10,Los bolígrafos 3D,"Las presentaciones, para entender los tipos de impresoras 3D","Algunas impresoras 3D están estropeadas, por ese motivo creo que deberíais renovarlas",5,4,5,1,2,5,4,5,5,2,5,5,4,5,1,4,5,5,1,1,5,"2019, 2020 (online)",Mis padres,11,Muy buena,No sé,Igual
EDICION DE FOTO Y VIDEO,JUNIOR,1809000,Chica,Muy bien,10,10,No asistí,No asistí,,Muy bien,Sí,Profesora de ciencias o  abogada,Muy buena,Muy bien,Sí,Sí,10,Cuando la maestra nos enseñaba a editar fotos.,"A la hora de socializar era complejo, dado a que estamos la mayoría del tiempo en el ordenador.","Nada, todo está bien.",5,4,5,1,2,5,4,5,5,2,5,5,4,5,1,4,5,5,1,1,5,"2019, 2020 (online)",Mis padres,11,Muy buena,No sé,Igual
MINECRAFT,JUNIOR,1809000,Chico,Bien,9,9,No asistí,No asistí,Buena,Muy bien,No sé,cientifico,Buena,Muy bien,Sí,Sí,10,pvp skywars,actividad de los crafteos,lo que duran las actividades,4,4,4,3,4,1,3,1,2,4,5,4,2,3,2,3,3,3,2,4,3,"2019, 2020 (online)",Mis padres,11,Muy buena,No sé,Peor
DRONES,SENIOR,1809761,Chico,Bien,9,9,Muy buena,No asistí,,Muy bien,Sí,Algo relacionado con las ciencias,Buena,Muy bien,Sí,Sí,9,Aprender a hacer códigos de arduino,La teoría por las mañanas,Yo creo que se podría dar una explicación al principio especial hacia los codigos de arduino,4,5,5,1,1,4,5,5,5,5,5,5,5,5,2,4,5,5,1,2,5,2019,"Yo, Mis padres",14,Buena,Sí,Igual
MINECRAFT,JUNIOR,1810000,Chico,Muy bien,10,10,No asistí,No asistí,Buena,Muy bien,Sí,Matemático,Muy buena,Muy bien,Sí,Sí,10,Las construcciones y actividades.,(),(),5,5,5,1,1,2,5,4,5,1,5,5,5,5,2,5,5,5,1,2,5,No,Mis padres,10,Muy buena,Sí,Igual
ROBOTICA,JUNIOR,1810000,Chico,Bien,10,10,No asistí,No asistí,Muy buena,Muy bien,Sí,Matemático,Muy buena,Muy bien,Sí,Sí,10,Los profesores :).,Hay mucho aire acondicionado.,Poner menos potencia en el aire acondicionado.,5,5,5,1,1,3,5,4,5,1,5,5,5,4,4,5,5,5,1,1,5,No,Mis padres,10,Muy buena,Sí,Igual
BIOINGENIERIA,JUNIOR,1812000,Chica,Muy bien,10,10,Muy buena,No asistí,Muy buena,Bien,No sé,Ciencia,Buena,Bien,Sí,Sí,9,Todo,Nada,Nada,4,4,4,2,2,4,4,3,4,2,5,4,4,4,3,4,2,5,1,3,5,No,Yo,11,Buena,No sé,Igual
DISEÑO 3D,JUNIOR,1812000,Chica,Regular,10,10,No asistí,No asistí,,Muy bien,No sé,no se,Me da igual,Bien,Sí,Sí,10,Que te den lo que diseñas.,La parte teorica...,La parte teorica....,3,3,3,3,3,3,3,4,3,3,5,3,3,3,3,3,3,3,3,1,3,No,Yo,11,Buena,No sé,Peor
EDICION DE FOTO Y VIDEO,JUNIOR,1812000,Chica,Muy bien,10,6,Mala,Mala,,Muy bien,No,No se...,Me da igual,Bien,Sí,Sí,10,Todo,A veces aburrido,Que sean actividades más divertidas,4,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,No,Yo,11,Buena,No sé,Peor
BIOINGENIERIA,SENIOR,1812143,Chica,Muy bien,10,10,Muy buena,No asistí,Muy buena,Muy bien,Sí,Bio ingeniería / matemáticas con inteligencia artificial,Muy buena,Muy bien,Sí,Sí,10,El buen ambiente ( y los experimentos ),Su fin,Nada,5,5,5,1,1,5,5,4,5,1,5,5,5,5,2,5,5,4,1,2,5,No,Yo,14,Muy buena,Sí,Igual
EMPRENDE ICADE,SENIOR,1901355,Chico,Muy bien,10,10,No asistí,No asistí,Muy buena,Muy bien,Sí,Ciberseguridad,Muy buena,Muy bien,Sí,Sí,10,Todos los temas dados y las mecánicas,Nada,,5,5,5,1,1,5,5,5,5,1,5,5,5,5,5,5,5,5,1,3,5,"2018, 2019, 2020 (online)",Yo,15,Buena,Sí,Mejor
ENERGIAS RENOVABLES,SENIOR,1904000,Chico,Muy bien,10,10,Muy buena,No asistí,Muy buena,Muy bien,Sí,multiminllonario ganador profesional de la loteria,Muy buena,Muy bien,Sí,Sí,10,todo,las mascarillas,muchas mas chuches,5,5,5,1,1,4,5,5,5,1,4,5,5,5,1,5,5,5,1,1,5,No,Yo,10,Muy buena,Sí,Igual
INGENIERIA MECANICA,SENIOR,1904467,Chico,Bien,10,10,Muy buena,Muy buena,Muy buena,Muy bien,Sí,Director de Bmw España,Muy buena,Bien,Sí,Sí,10,La simpatía de los profesores.,Que había que madrugar.,Ampliar un poco las charlas de motores.,5,5,5,2,1,4,5,4,5,3,5,5,4,4,4,4,5,5,1,3,4,No,Yo,17,Muy buena,Sí,Igual
ROBOTICA,JUNIOR,1905000,Chico,Muy bien,10,10,No asistí,No asistí,Muy buena,Bien,No sé,a la cocina,Muy buena,Muy bien,Sí,Sí,10,la carrera,que nos faltaban algunas piezas,nada,4,4,5,2,3,2,4,5,4,2,5,4,3,4,2,3,4,4,2,3,4,No,Mis padres,10,Muy buena,No sé,Igual
CIBERSEGURIDAD,SENIOR,1908773,Chico,Bien,10,10,No asistí,No asistí,Regular,Bien,Sí,no se,Buena,Bien,Sí,Sí,9,Patio,Nada.Todo bien,Más tiempo de patio,5,5,5,1,1,5,5,5,5,1,5,5,5,5,5,5,1,5,1,5,5,No,Mis padres,16,Buena,Sí,Igual
MINECRAFT,JUNIOR,1909000,Chico,Bien,8,9,Buena,Buena,Buena,Muy bien,Sí,programador de videojuegos,Buena,Bien,Sí,Sí,10,los juegos y pvps de minecraft,nada :),enseñar mas cosas como curiosidades o datos curiosos,3,3,4,4,3,4,4,2,1,3,5,4,3,3,5,4,5,3,4,5,5,2019,Yo,11,Buena,No sé,Igual
MINECRAFT,JUNIOR,1909000,Chico,Regular,10,10,No asistí,No asistí,Buena,Muy bien,No,deportista,Buena,Bien,Sí,Sí,10,amigos y diversión,nada,nada,3,1,5,3,5,1,1,3,1,5,5,1,1,1,5,1,5,4,5,1,5,2019,Yo,11,Buena,No sé,Igual
INGENIERIA ELECTRONICA,SENIOR,1909923,Chico,Regular,10,10,Muy buena,No asistí,Regular,Muy bien,No sé,no lo tengo claro,Buena,Regular,No,No,10,el ultimo día,el primer día,"el horario, no da un comino de tiempo para dormir y descansar",3,4,5,1,2,3,4,4,3,3,5,4,4,3,3,3,3,5,2,3,5,No,Mis padres,15,Buena,No sé,Igual
VIDEOJUEGOS 2D,JUNIOR,1911000,Chica,Bien,10,1,Muy buena,No asistí,Muy buena,Muy bien,No sé,No lo sé,Muy buena,Muy bien,Sí,Sí,10,La aplicación de paint.net,Hacer audios,No lo sé,4,3,4,2,3,3,3,2,3,3,4,3,3,4,4,3,3,3,2,3,3,No,Mis padres,12,Me da igual,No,Mucho mejor
EDICION DE FOTO Y VIDEO,SENIOR,1912000,Chica,Muy bien,10,9,Muy buena,No asistí,Mala,Muy bien,No sé,Todavía no lo sé.,Muy buena,Muy bien,Sí,No,10,La edición de vídeos.,Editar la foto para conseguir que se parezca a la editada,Nada.,5,3,5,1,2,4,3,5,4,1,5,3,4,5,5,5,5,5,1,5,5,No,Mis padres,13,Buena,No sé,Mejor
ENERGIAS RENOVABLES,JUNIOR,1912000,Chico,Bien,9,8,Muy buena,Buena,Buena,Bien,No sé,Físico cuantico,Muy buena,Muy bien,Sí,Sí,9,El circuito eléctrico.,No sé,ni idea,5,4,5,1,2,4,5,5,5,2,5,4,4,5,1,4,4,5,1,1,3,No,Mis padres,13,Buena,No sé,Mejor
INGENIERIA MECANICA,SENIOR,2004265,Chico,Bien,9,9,Buena,Muy buena,Muy buena,Bien,Sí,Ingeniero,Buena,Muy bien,Sí,Sí,8,Aprender el funcionamiento interno de la mecánica de los coches,Visión espacial,Hacer más entretenido la teoría,4,4,4,2,2,3,4,3,4,3,4,4,4,4,3,3,3,4,2,3,3,No,Yo,15,Buena,Sí,Igual
DISEÑO 3D,JUNIOR,2005000,Chico,Bien,10,10,No asistí,No asistí,Muy buena,Muy bien,No sé,no lo se,Muy buena,Muy bien,Sí,Sí,10,El lapiz 3d,nada,Deberian revisar las impresoras por la noche los conserjes,4,4,4,1,3,4,3,4,5,2,4,2,3,5,2,3,4,5,2,1,4,No,Yo,11,Muy buena,No sé,Igual
VIDEOJUEGOS 2D,JUNIOR,2005000,Chico,Bien,10,10,Muy buena,No asistí,Buena,Muy bien,Sí,NO LO SE,Muy buena,Regular,Sí,Sí,10,"QUE LOS PROFES ERAN MAJOS,LA VISITA A ALGUNOS LABORATORIOS, PROGAMAR",QUE SOLO DURE UNA SEMANA,ESTA PERFECTO,5,4,4,1,2,4,3,4,5,1,5,3,2,4,2,3,4,4,1,2,4,No,Yo,11,Muy buena,No sé,Igual
INGENIERIA MECANICA,SENIOR,2007890,Chico,Muy bien,10,10,Buena,Buena,Regular,Bien,Sí,ingenieria,Muy buena,Muy bien,No,Sí,8,Todo.,Todo.,Nada.,4,5,5,2,1,1,5,3,5,5,5,4,4,3,3,1,3,3,1,3,3,No,Mis padres,14,Buena,Sí,Mejor
AUTOMATIZACION,SENIOR,2010000,Chico,Muy bien,10,8,Buena,No asistí,Muy buena,Muy bien,Sí,ingenieria,Me da igual,Muy bien,Sí,Sí,10,el profesor y el brazo robótico,nada,mejorar las visitas a los laboratorios,5,5,4,1,1,4,5,4,5,2,5,5,5,4,2,2,4,4,1,3,5,No,Mis padres,11,Me da igual,No sé,Igual
VIDEOJUEGOS 2D,JUNIOR,2010000,Chico,Muy bien,10,9,Buena,No asistí,Buena,Bien,No sé,No se,Me da igual,Muy bien,Sí,Sí,9,Los compañeros,No se,Nada,3,3,3,2,3,3,2,4,3,3,4,3,2,2,4,3,2,4,3,4,3,No,Mis padres,11,Me da igual,No sé,Igual
VIDEOJUEGOS 3D,SENIOR,2101024,Chica,Muy bien,9,5,Regular,Regular,Buena,Muy bien,Sí,Algo relacionado con las ciencias,Muy buena,Muy bien,Sí,Sí,10,Poder crear lo que queramos,Poco tiempo para profundizar,No sé,5,5,5,1,2,3,4,4,4,2,4,4,4,4,2,4,4,5,1,1,4,"2017, 2018, 2019",Yo,15,Buena,Sí,Mejor
INGENIERIA MECANICA,SENIOR,2101115,Chico,Muy bien,10,10,Muy buena,Muy buena,Muy buena,Muy bien,Sí,"Relacionado con las ciencias, quizás en un laboratorio o en medicina",Muy buena,Muy bien,Sí,Sí,10,Aprender de la F1,No se me ocurre nada,Que tengamos acceso a la cafeteria,5,5,5,1,1,5,5,3,5,1,5,4,5,5,3,5,5,5,1,3,5,"2018, 2019",Yo,16,Muy buena,Sí,Igual
DRONES,SENIOR,2101370,Chico,Muy bien,10,10,Buena,No asistí,Muy buena,Muy bien,No,Farmacia,Buena,Regular,Sí,Sí,10,El aerobot,Que no hemos hecho un cuadricoptero,"Me parece un muy buen curso, pero los primeros días es muy parecido a electrónica o automatización",5,5,5,1,1,5,5,5,5,1,5,1,5,5,3,5,5,5,1,1,5,No,Yo,17,Buena,No,Igual
PROGRAMACION WEB,SENIOR,2101370,Chico,Muy bien,10,10,Muy buena,Muy buena,,Muy bien,Sí,Farmacia,Buena,Regular,Sí,Sí,10,El aprendizaje,El js me ha costado un poco,Nose,5,5,5,1,1,5,5,4,5,1,3,3,5,5,4,5,4,2,1,1,5,No,Yo,17,Buena,No,Igual
INGENIERIA MECANICA,SENIOR,2101540,Chico,Bien,10,10,Muy buena,Muy buena,Buena,Muy bien,Sí,ingeniero de automocion,Muy buena,Regular,Sí,Sí,10,que nos enseñen los motores y los coches en persona,nada,abrir la cafeteria,3,5,4,4,2,5,5,2,2,3,5,4,4,4,2,4,4,4,2,4,4,"2016, 2017, 2018",Yo,16,Buena,Sí,Mejor
INGENIERIA MECANICA,SENIOR,2101894,Chico,Muy bien,10,10,Muy buena,No asistí,Buena,Bien,Sí,Ingeniero de F1,Muy buena,Muy bien,Sí,Sí,10,Motores,Diseño 3D,.,5,5,5,2,2,4,4,5,5,2,4,5,4,4,3,4,2,4,2,2,2,2020 (online),Yo,16,Muy buena,Sí,Igual
DISEÑO 3D,JUNIOR,2103000,Chica,Muy bien,10,10,No asistí,No asistí,Muy buena,Muy bien,No sé,ingenieria agricola,Muy buena,Muy bien,Sí,Sí,10,me he llevado muchas figuras 3D,las impresoras van fatal,cambiar las impresoras,5,4,5,1,2,4,4,4,5,2,5,5,4,5,2,4,5,5,1,1,5,No,"Yo, Mis padres",11,Muy buena,Sí,Igual
EDICION DE FOTO Y VIDEO,JUNIOR,2103000,Chica,Muy bien,10,1,No asistí,No asistí,Muy buena,Muy bien,Sí,ingenieria agricola,Muy buena,Muy bien,Sí,Sí,10,he aprenddo muchas cosas que me serviran,no ha habido nada malo,"nada, esta todo genial",5,4,5,1,2,4,4,4,5,2,5,5,4,5,1,4,5,5,1,2,5,No,"Yo, Mis padres",11,Muy buena,Sí,Igual
EDICION DE FOTO Y VIDEO,SENIOR,2105234,Chica,Bien,9,10,Buena,Buena,Buena,Muy bien,No sé,no lo tengo claro,Buena,Bien,Sí,Sí,8,La edición de fotos y video,la hora de entrada,Las horas de entrada y salida,3,3,4,2,3,3,3,4,3,3,3,3,2,3,4,3,2,4,3,3,2,No,Mis padres,14,Buena,No sé,Igual
CIBERSEGURIDAD,SENIOR,2105971,Chico,Bien,10,10,Muy buena,Buena,Buena,Muy bien,Sí,No lo se la verdad pero siempre he querido algo relacionado con ingenierías. Mecánica o algo de programación.,Muy buena,Bien,Sí,No,10,Me ha gustado todo la verdad. Siempre hay algo que te gusta más o menos pero la  verdad que me ha encantado todo.,Nada la  verdad me ha gustado bastante,Nada,4,4,4,4,2,3,4,4,3,2,4,4,4,4,4,4,4,4,3,4,4,No,"Mis padres, Otros",14,Buena,Sí,Mejor
BIOINGENIERIA,JUNIOR,2107000,Chico,Bien,9,7,Muy buena,Muy buena,Buena,Bien,Sí,ingeniería,Muy buena,Bien,Sí,Sí,8,.,.,.,4,4,4,2,2,3,4,4,4,2,4,4,4,4,2,4,3,4,2,2,4,"2017, 2018, 2019",Yo,13,Buena,Sí,Mejor
CIENCIA EN LA COCINA,JUNIOR,2107000,Chico,Bien,10,10,No asistí,No asistí,,Bien,Sí,no lo se,Buena,Bien,Sí,Sí,9,todo,nada,nada,4,4,4,2,2,4,4,4,4,2,4,4,4,4,2,4,3,4,2,2,4,"2017, 2018, 2019",Yo,13,Buena,Sí,Igual
ENERGIAS RENOVABLES,JUNIOR,2107000,Chico,Muy bien,9,8,Buena,No asistí,Buena,Bien,Sí,Algo que no sea letras,Buena,Bien,Sí,Sí,7,shell shockers,no lo se,no lo se,4,4,4,1,4,2,4,4,4,2,4,4,4,4,2,4,3,4,2,2,3,"2017, 2018, 2019",Yo,13,Buena,Sí,Igual
ROBOTICA,JUNIOR,2108000,Chico,Bien,10,10,No asistí,No asistí,Muy buena,Muy bien,No sé,futbolista,Muy buena,Bien,Sí,No,9,construir con lego,nada,nada,4,3,4,1,4,4,4,3,4,3,5,4,4,4,2,4,4,3,1,1,4,No,Mis padres,14,Buena,No sé,Mejor
BIOINGENIERIA,SENIOR,2108376,Chico,Bien,9,10,Buena,Buena,Buena,Bien,No,Ingeniero,Muy buena,Muy bien,Sí,Sí,9,"Los experimentos, especialmente mirar las bacterias al microscopio",Me aburrí un poco con la teoría,Nada. Está muy bien.,5,5,5,1,1,3,5,4,5,2,5,4,5,4,2,5,4,5,1,2,4,2019,Yo,13,Buena,Sí,Mejor
CIENCIA EN LA COCINA,JUNIOR,2110000,Chica,Bien,10,10,No asistí,No asistí,Muy buena,Muy bien,No sé,diseñadora de moda,Buena,Bien,Sí,Sí,9,cocinar,las charlas,no lo sé,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,4,3,No,Mis padres,9,Mala,No sé,Mucho mejor
VIDEOJUEGOS 2D,JUNIOR,2110000,Chica,Bien,10,9,Buena,Buena,Buena,Muy bien,Sí,guionista,Buena,Muy bien,Sí,Sí,10,el shellshoker,cuando te matan en el shell shokers,no se,5,5,5,1,2,4,3,4,5,1,4,5,5,5,1,5,4,5,1,1,5,No,Mis padres,9,Mala,No sé,Mucho mejor
CIBERSEGURIDAD,SENIOR,2112739,Chica,Bien,8,9,Muy buena,No asistí,Muy buena,Bien,Sí,no lo se,Buena,Bien,Sí,Sí,5,competición del último día,no era como me esperaba,hacer cosas más interactivas o con el ordenador,4,4,5,4,1,4,4,3,5,1,5,5,4,4,4,4,3,4,1,3,4,"2016, 2017, 2018, 2019",Yo,16,Buena,Sí,Igual
DISEÑO 3D,SENIOR,2202269,Chico,Muy bien,10,10,Muy buena,Muy buena,Regular,Muy bien,No sé,Bioquimica,Buena,Bien,Sí,Sí,10,Todo,Nada,Nada,5,4,5,3,2,3,3,4,5,1,5,5,4,4,5,4,3,5,1,3,3,No,Mis padres,14,Muy buena,No sé,Peor
EDICION DE FOTO Y VIDEO,JUNIOR,2203000,Chica,Muy bien,10,8,No asistí,No asistí,Mala,Muy bien,Sí,No se,Muy buena,Muy bien,Sí,Sí,10,Ver las fotos de los compañeros y mias en drive,No se podia poner volumen alto porque habia mucha gente,No se,5,5,5,1,1,3,5,5,5,3,5,5,5,5,1,3,4,4,1,2,3,2020 (online),"Yo, Mis padres",13,Muy buena,Sí,Igual
INGENIERIA MECANICA,JUNIOR,2203000,Chica,Muy bien,9,10,Buena,No asistí,Buena,Muy bien,Sí,no se,Muy buena,Muy bien,Sí,Sí,9,El montar y el desmontar de las cosas,La teoria,estar tanto tiempo mirando la pantalla y escuchando,5,5,5,1,1,5,5,5,5,2,5,5,5,5,1,4,4,5,1,1,5,2020 (online),"Yo, Mis padres",13,Muy buena,Sí,Igual
INGENIERIA MECANICA,JUNIOR,2203000,Chico,Bien,10,10,Buena,No asistí,Buena,Muy bien,No sé,No se,Buena,Muy bien,Sí,Sí,9,Los experimentos,La teoría,La longitud de la teoría,5,5,5,1,1,4,4,5,5,1,5,5,4,5,1,4,5,5,1,1,4,2020 (online),"Yo, Mis padres",13,Muy buena,Sí,Peor
INGENIERIA MECANICA,JUNIOR,2203000,Chico,Bien,10,10,Buena,No asistí,Muy buena,Bien,Sí,Ingeniero,Muy buena,Bien,Sí,Sí,8,Los experimentos,Demasiada teoría y pocos experimentos,Hacer mas cosas y menos teoría,5,5,5,2,1,3,5,4,5,1,5,5,5,5,2,5,3,4,1,2,5,2020 (online),"Yo, Mis padres",13,Muy buena,Sí,Igual
MINECRAFT,JUNIOR,2203000,Chico,Muy bien,10,10,No asistí,No asistí,Muy buena,Muy bien,No sé,no se,Buena,Muy bien,Sí,Sí,9,los juegos,las batallas,nada,5,5,5,1,2,4,4,5,4,1,5,5,4,5,1,4,5,5,1,1,5,2020 (online),"Yo, Mis padres",13,Muy buena,Sí,Peor
INGENIERIA MECANICA,SENIOR,2203352,Chico,Bien,9,9,Buena,Buena,Buena,Bien,Sí,Ingeniero mecanico,Muy buena,Bien,Sí,Sí,9,Aprender cosas interesantes que están al rededor mío (aprender sobre los motores),El diseño 3d,el diseño 3d,4,5,5,1,5,4,5,4,5,1,5,4,5,4,3,5,5,3,1,3,2,No,Yo,17,Buena,Sí,Mejor
INTELIGENCIA ARTIFICIAL,SENIOR,2203645,Chico,Bien,10,1,Muy buena,Muy buena,Muy buena,Regular,Sí,ser bioingeniería o genetista.,Muy buena,Bien,Sí,Sí,9,Lo que no tenia relación con el curso,tener que hacer tanto scratch,pues bastantes cosas pero esta bien.,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,5,5,5,1,1,5,"2016, 2017, 2018, 2019",Yo,16,Muy buena,Sí,Igual
CIENCIA EN LA COCINA,JUNIOR,2204000,Chico,Muy bien,10,10,No asistí,No asistí,Muy buena,Muy bien,No sé,ingemiería,Muy buena,Muy bien,Sí,Sí,10,todo,nada,nada,5,5,3,1,3,5,3,5,5,1,5,5,3,3,4,3,5,5,1,3,5,No,Mis padres,9,Buena,No sé,Mejor
ENERGIAS RENOVABLES,JUNIOR,2204000,Chico,Bien,10,10,Muy buena,Muy buena,Muy buena,Muy bien,No sé,ser policia,Buena,Regular,Sí,Sí,10,todo,nada,nada,3,3,4,1,3,2,2,3,3,2,5,3,3,3,1,3,5,5,1,1,5,No,Mis padres,9,Buena,No sé,Igual
